name,date,genre,url
Post Malone's BIG ASS World Tour - With Don Toliver,2026-10-09,Music,https://www.ticketmaster.com.au/post-malones-big-ass-world-tour-docklands-09-10-2026/event/250064B4860819AE
"Harry Styles: Together, Together",2026-11-27,Music,https://www.ticketmaster.com.au/harry-styles-together-together-docklands-27-11-2026/event/25006436CFC6E40D
"Harry Styles: Together, Together",2026-11-28,Music,https://www.ticketmaster.com.au/harry-styles-together-together-docklands-28-11-2026/event/2500643393CDFCCE
"Harry Styles: Together, Together",2026-12-02,Music,https://www.ticketmaster.com.au/harry-styles-together-together-docklands-02-12-2026/event/25006436CFDFE44E
"Harry Styles: Together, Together",2026-12-04,Music,https://www.ticketmaster.com.au/harry-styles-together-together-docklands-04-12-2026/event/25006436CFE9E468
BTS WORLD TOUR 'ARIRANG' IN MELBOURNE,2027-02-10,Music,https://www.ticketmaster.com.au/bts-world-tour-arirang-in-melbourne-docklands-10-02-2027/event/250064BBD99DD435
BTS WORLD TOUR 'ARIRANG' IN MELBOURNE,2027-02-12,Music,https://www.ticketmaster.com.au/bts-world-tour-arirang-in-melbourne-docklands-12-02-2027/event/250064B5D9D76DEF
BTS WORLD TOUR 'ARIRANG' IN MELBOURNE,2027-02-13,Music,https://www.ticketmaster.com.au/bts-world-tour-arirang-in-melbourne-docklands-13-02-2027/event/250064BBD99FD437
Guns N' Roses: World Tour 2026,2026-12-11,Music,https://www.ticketmaster.com.au/guns-n-roses-world-tour-2026-docklands-11-12-2026/event/25006458A22F75AC
DOM DOLLA,2026-09-24,Music,https://www.ticketmaster.com.au/dom-dolla-docklands-24-09-2026/event/250064B2DB574B26
Robbie Williams - BRITPOP WORLD TOUR,2026-11-11,Music,https://www.ticketmaster.com.au/robbie-williams-britpop-world-tour-docklands-11-11-2026/event/2500646DCF7389BE
Essendon v St Kilda - AFL Reserve & MCC,2026-07-05,Sports,https://www.ticketmaster.com.au/essendon-v-st-kilda-afl-reserve-docklands-05-07-2026/event/250064489915202E
Essendon v St Kilda - Amphora Match Day Dining,2026-07-05,Miscellaneous,https://www.ticketmaster.com.au/essendon-v-st-kilda-amphora-match-docklands-05-07-2026/event/25006466D6F8F9C7
Essendon v St Kilda - Club Members / General Public,2026-07-05,Sports,https://www.ticketmaster.com.au/essendon-v-st-kilda-club-members-docklands-05-07-2026/event/2500643CC1EAEF00
Collingwood v North Melbourne - AFL Reserve & MCC,2026-07-10,Sports,https://www.ticketmaster.com.au/collingwood-v-north-melbourne-afl-reserve-docklands-10-07-2026/event/25006448990B1FC6
Collingwood v North Melbourne - Amphora Match Day Dining,2026-07-10,Miscellaneous,https://www.ticketmaster.com.au/collingwood-v-north-melbourne-amphora-match-docklands-10-07-2026/event/25006466D6FEF9DC
Collingwood v North Melbourne - Club Members / General Public,2026-07-10,Sports,https://www.ticketmaster.com.au/collingwood-v-north-melbourne-club-members-docklands-10-07-2026/event/2500643CC1DEEEC6
St Kilda v Port Adelaide - AFL Reserve & MCC,2026-07-11,Sports,https://www.ticketmaster.com.au/st-kilda-v-port-adelaide-afl-docklands-11-07-2026/event/2500644899102010
St Kilda v Port Adelaide - Amphora Match Day Dining,2026-07-11,Miscellaneous,https://www.ticketmaster.com.au/st-kilda-v-port-adelaide-amphora-docklands-11-07-2026/event/25006466D6FBF9D0
St Kilda v Port Adelaide - Club Members / General Public,2026-07-11,Sports,https://www.ticketmaster.com.au/st-kilda-v-port-adelaide-club-docklands-11-07-2026/event/2500643CC1E4EEE7
Western Bulldogs v West Coast Eagles - Amphora Match Day Dining,2026-07-12,Miscellaneous,https://www.ticketmaster.com.au/western-bulldogs-v-west-coast-eagles-docklands-12-07-2026/event/25006466D74CFA8F
Western Bulldogs v West Coast Eagles - Club Members / General Public,2026-07-12,Sports,https://www.ticketmaster.com.au/western-bulldogs-v-west-coast-eagles-docklands-12-07-2026/event/2500643CC1D1EE85
Western Bulldogs v West Coast Eagles - AFL Reserve & MCC,2026-07-12,Sports,https://www.ticketmaster.com.au/western-bulldogs-v-west-coast-eagles-docklands-12-07-2026/event/2500644899001F9A
North Melbourne v Melbourne - Amphora Match Day Dining,2026-07-18,Miscellaneous,https://www.ticketmaster.com.au/north-melbourne-v-melbourne-amphora-match-docklands-18-07-2026/event/25006466D74EFA96
North Melbourne v Melbourne - Club Members / General Public,2026-07-18,Sports,https://www.ticketmaster.com.au/north-melbourne-v-melbourne-club-members-docklands-18-07-2026/event/2500643CC1DAEEB5
North Melbourne v Melbourne - AFL Reserve & MCC,2026-07-18,Sports,https://www.ticketmaster.com.au/north-melbourne-v-melbourne-afl-reserve-docklands-18-07-2026/event/2500644899081FB9
Essendon v GWS GIANTS - AFL Reserve & MCC,2026-07-19,Sports,https://www.ticketmaster.com.au/essendon-v-gws-giants-afl-reserve-docklands-19-07-2026/event/2500644899162035
Essendon v GWS GIANTS - Amphora Match Day Dining,2026-07-19,Miscellaneous,https://www.ticketmaster.com.au/essendon-v-gws-giants-amphora-match-docklands-19-07-2026/event/25006466D751FA9A
Essendon v GWS GIANTS - Club Members / General Public,2026-07-19,Sports,https://www.ticketmaster.com.au/essendon-v-gws-giants-club-members-docklands-19-07-2026/event/2500643CC1EBEF04
Marvel Stadium 2 Match Pass - Carlton v GC SUNS / WBulldogs v Richmond,2026-07-25,Sports,https://www.ticketmaster.com.au/marvel-stadium-2-match-pass-carlton-docklands-25-07-2026/event/250064D6D57C46C4
Western Bulldogs v Richmond - Amphora Match Day Dining,2026-07-25,Miscellaneous,https://www.ticketmaster.com.au/western-bulldogs-v-richmond-amphora-match-docklands-25-07-2026/event/25006466D756FAAD
Carlton v Gold Coast SUNS - Amphora Match Day Dining,2026-07-25,Miscellaneous,https://www.ticketmaster.com.au/carlton-v-gold-coast-suns-amphora-docklands-25-07-2026/event/25006466D759FAB8
Western Bulldogs V Richmond - The Pulse By Coca Cola,2026-07-25,Miscellaneous,https://www.ticketmaster.com.au/western-bulldogs-v-richmond-the-pulse-docklands-25-07-2026/event/25006471A5084AFA
Carlton v Gold Coast SUNS - Club Members / General Public,2026-07-25,Sports,https://www.ticketmaster.com.au/carlton-v-gold-coast-suns-club-docklands-25-07-2026/event/2500643CC1F2EF1B
Western Bulldogs v Richmond - Club Members / General Public,2026-07-25,Sports,https://www.ticketmaster.com.au/western-bulldogs-v-richmond-club-members-docklands-25-07-2026/event/2500643CC1D2EE8C
North Melbourne v St Kilda - Amphora Match Day Dining,2026-07-26,Miscellaneous,https://www.ticketmaster.com.au/north-melbourne-v-st-kilda-amphora-docklands-26-07-2026/event/25006466D753FA9F
North Melbourne v St Kilda - Club Members / General Public,2026-07-26,Sports,https://www.ticketmaster.com.au/north-melbourne-v-st-kilda-club-docklands-26-07-2026/event/2500643CC1DBEEB7
Marvel Stadium 2 Match Pass  St Kilda v Sydney / Carlton v Brisbane,2026-08-01,Sports,https://www.ticketmaster.com.au/marvel-stadium-2-match-pass-st-docklands-01-08-2026/event/250064D6DF8D4D8E
St Kilda v Sydney Swans - Amphora Match Day Dining,2026-08-01,Miscellaneous,https://www.ticketmaster.com.au/st-kilda-v-sydney-swans-amphora-docklands-01-08-2026/event/25006466D75CFABD
Carlton v Brisbane Lions - Amphora Match Day Dining,2026-08-01,Miscellaneous,https://www.ticketmaster.com.au/carlton-v-brisbane-lions-amphora-match-docklands-01-08-2026/event/25006466D75FFAC4
Carlton v Brisbane Lions - Club Members / General Public,2026-08-01,Sports,https://www.ticketmaster.com.au/carlton-v-brisbane-lions-club-members-docklands-01-08-2026/event/2500643CC1F3EF1D
St Kilda v Sydney Swans - Club Members / General Public,2026-08-01,Sports,https://www.ticketmaster.com.au/st-kilda-v-sydney-swans-club-docklands-01-08-2026/event/2500643CC1E5EEE9
Essendon v Adelaide Crows - Amphora Match Day Dining,2026-08-02,Miscellaneous,https://www.ticketmaster.com.au/essendon-v-adelaide-crows-amphora-match-docklands-02-08-2026/event/25006466D762FAC8
Essendon v Adelaide Crows - Club Members / General Public,2026-08-02,Sports,https://www.ticketmaster.com.au/essendon-v-adelaide-crows-club-members-docklands-02-08-2026/event/2500643CC1ECEF07
Western Bulldogs v North Melbourne - Amphora Match Day Dining,2026-08-06,Miscellaneous,https://www.ticketmaster.com.au/western-bulldogs-v-north-melbourne-amphora-docklands-06-08-2026/event/25006466D765FACE
Western Bulldogs V North Melbourne - The Pulse By Coca Cola,2026-08-06,Miscellaneous,https://www.ticketmaster.com.au/western-bulldogs-v-north-melbourne-the-docklands-06-08-2026/event/25006471A5094B04
Western Bulldogs v North Melbourne - Club Members / General Public,2026-08-06,Sports,https://www.ticketmaster.com.au/western-bulldogs-v-north-melbourne-club-docklands-06-08-2026/event/2500643CC1D3EE8F
St Kilda v Carlton - Amphora Match Day Dining,2026-08-09,Miscellaneous,https://www.ticketmaster.com.au/st-kilda-v-carlton-amphora-match-docklands-09-08-2026/event/25006466D768FAD7
St Kilda v Carlton - Club Members / General Public,2026-08-09,Sports,https://www.ticketmaster.com.au/st-kilda-v-carlton-club-members-docklands-09-08-2026/event/2500643CC1E6EEED
Four N Twenty Legends Game,2026-08-27,Sports,https://www.ticketmaster.com.au/four-n-twenty-legends-game-docklands-27-08-2026/event/250064C1AF2A269B
St Kilda v Gold Coast SUNS - Club Members / General Public,2026-09-30,Sports,https://www.ticketmaster.com.au/st-kilda-v-gold-coast-suns-docklands-30-09-2026/event/2500643CC1E7EEF1
"Jay Chou ""Carnival II"" World Tour in Melbourne",2026-10-17,Music,https://www.ticketmaster.com.au/jay-chou-carnival-ii-world-tour-docklands-17-10-2026/event/2500647FEE7EB74F
Marvel Stadium Tour,2026-07-06,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-06-07-2026/event/250064CA8F2B1C8B
Marvel Stadium Tour,2026-07-13,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-13-07-2026/event/250064CAB4BD35E1
Marvel Stadium Tour,2026-07-15,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-15-07-2026/event/250064CAB4BD35E7
Marvel Stadium Tour,2026-07-14,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-14-07-2026/event/250064CAB4BD35E5
Marvel Stadium Tour,2026-07-20,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-20-07-2026/event/250064CAB4BE35F4
Marvel Stadium Tour,2026-07-17,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-17-07-2026/event/250064CAB4BE35ED
Marvel Stadium Tour,2026-07-16,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-16-07-2026/event/250064CAB4BE35EB
Marvel Stadium Tour,2026-07-23,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-23-07-2026/event/250064CAB4BF35FA
Marvel Stadium Tour,2026-07-24,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-24-07-2026/event/250064CAB4BF35FC
Marvel Stadium Tour,2026-07-21,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-21-07-2026/event/250064CAB4BF35F6
Marvel Stadium Tour,2026-07-22,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-22-07-2026/event/250064CAB4BF35F8
Marvel Stadium Tour,2026-07-07,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-07-07-2026/event/250064CAB4BC35D4
Marvel Stadium Tour,2026-07-08,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-08-07-2026/event/250064CAB4BC35D6
Marvel Stadium Tour,2026-07-31,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-31-07-2026/event/250064CAB4C1360A
Marvel Stadium Tour,2026-07-30,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-30-07-2026/event/250064CAB4C13608
Marvel Stadium Tour,2026-08-03,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-03-08-2026/event/250064CAB4C13613
Marvel Stadium Tour,2026-08-04,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-04-08-2026/event/250064CAB4C23615
Marvel Stadium Tour,2026-08-05,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-05-08-2026/event/250064CAB4C23617
Marvel Stadium Tour,2026-08-07,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-07-08-2026/event/250064CAB4C2361B
Marvel Stadium Tour,2026-08-08,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-08-08-2026/event/250064CAB4C2361D
Marvel Stadium Tour,2026-07-28,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-28-07-2026/event/250064CAB4C03604
Marvel Stadium Tour,2026-07-27,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-27-07-2026/event/250064CAB4C03602
Marvel Stadium Tour,2026-07-29,Miscellaneous,https://www.ticketmaster.com.au/marvel-stadium-tour-docklands-29-07-2026/event/250064CAB4C03606
26ITEM,2026-10-01,Undefined,
